Service Order Number,Date Opened,Structure Status,Address,City,State,Zip Code,Neighborhood,Latitude,Longitude,KivaPIN,Property Owner,Order to Demolish Or Repair Sent,Project Phase,Structure Type,Structure Rating,Mapped Location
1189001,11/08/2017,Closed (City Demolition),8606 Thompson Ave,KANSAS CITY,MO,64125,North Blue Ridge,39.105824,-94.481617,46995,Private,,,House,Emergency,"8606 Thompson Ave
KANSAS CITY 64125
(39.105824, -94.481617)"
1136771,06/04/2015,Downgraded/No Longer a DB,5115 E 41st St,KANSAS CITY,MO,64130,Vineyard,39.051052,-94.523982,32180,Private,,AHA Candidate,House,Repair/Receivership,"5115 E 41st St
KANSAS CITY 64130
(39.051052, -94.523982)"
1154385,03/30/2016,Closed (City Demolition),3738 Askew Ave,KANSAS CITY,MO,64128,Palestine West And Oak Park Northeast,39.057269,-94.542296,28115,Land Bank,,Kissick Donated Demolition,,,"3738 Askew Ave
KANSAS CITY 64128
(39.057269, -94.542296)"
1151741,02/08/2016,Downgraded/No Longer a DB,809 W Gregory Blvd,KANSAS CITY,MO,64114,Ward Parkway,38.999551,-94.598983,110687,Private,,,,,"809 W Gregory Blvd
KANSAS CITY 64114
(38.999551, -94.598983)"
1101182,10/15/2013,Closed (Owner Repair),5004 BELLEFONTAINE AVE,KANSAS CITY,MO,64130,North Town Fork Creek,39.035128,-94.549204,35375,Private,,,,,"5004 BELLEFONTAINE AVE
KANSAS CITY 64130
(39.035128, -94.549204)"
1184117,08/15/2017,Closed (City Demolition),5015 Garfield Ave,KANSAS CITY,MO,64130,Blue Hills,39.034886,-94.559916,138641,City,,,,,"5015 Garfield Ave
KANSAS CITY 64130
(39.034886, -94.559916)"
1047368,10/30/2008,Closed (City Demolition),2321 CHESTNUT AVE,KANSAS CITY,MO,64127,Washington Wheatley,39.0836,-94.549566,16283,Land Bank,,Alternate for Deconstruction (was Dollar House List),,,"2321 CHESTNUT AVE
KANSAS CITY 64127
(39.0836, -94.549566)"
1151576,04/16/2014,Closed (Owner Demolition),3538 N Drury Ave,KANSAS CITY,MO,64117,Hill Haven,39.162199,-94.514841,78763,Private,,,House,Regular Demolition,"3538 N Drury Ave
KANSAS CITY 64117
(39.162199, -94.514841)"
1069948,07/30/2012,Closed (City Demolition),3818 Bales Ave,KANSAS CITY,MO,64128,Palestine West And Oak Park Northeast,39.055956,-94.543504,28022,Land Bank,,,,,"3818 Bales Ave
KANSAS CITY 64128
(39.055956, -94.543504)"
1047793,05/02/2011,Closed (City Demolition),6511 WOODSON RD,KANSAS CITY,MO,64133,Little Blue,39.003092,-94.442858,65180,Private,,Accelerated Priority,Barn,Regular Demolition,"6511 WOODSON RD
KANSAS CITY 64133
(39.003092, -94.442858)"
1171113,01/03/2017,Closed (City Demolition),4009 Euclid Ave,KANSAS CITY,MO,64130,Ivanhoe Southeast,39.053362,-94.560321,136675,Private,,Accelerated Priority,House,High Priority,"4009 Euclid Ave
KANSAS CITY 64130
(39.053362, -94.560321)"
1136102,05/27/2015,Downgraded/No Longer a DB,5830 E 12th St,KANSAS CITY,MO,64126,Sheffield,39.097847,-94.512626,5739,Private,,,House,High Priority,"5830 E 12th St
KANSAS CITY 64126
(39.097847, -94.512626)"
1101439,10/07/2013,Closed (Owner Repair),7321 E TRUMAN RD,KANSAS CITY,MO,64126,Blue Valley Industrial,39.093214,-94.496765,7240,Private,,,,,"7321 E TRUMAN RD
KANSAS CITY 64126
(39.093214, -94.496765)"
1123409,09/26/2014,Closed (Owner Repair),2907 E 73RD ST,KANSAS CITY,MO,64132,Noble And Gregory Ridge,38.993993,-94.553174,3633,Private,,,House,Repair/Receivership,"2907 E 73RD ST
KANSAS CITY 64132
(38.993993, -94.553174)"
1149132,12/02/2009,Closed (City Demolition),6811 AGNES AVE,KANSAS CITY,MO,64132,Self Help Neighborhood Council,39.00279,-94.551662,2828,Land Bank,,Dollar House List (added),,,"6811 AGNES AVE
KANSAS CITY 64132
(39.00279, -94.551662)"
1154508,03/31/2016,Closed (City Demolition),6828 Bellefontaine Ave,KANSAS CITY,MO,64132,Self Help Neighborhood Council,39.002181,-94.551203,2798,Land Bank,,Dollar House List (added),,,"6828 Bellefontaine Ave
KANSAS CITY 64132
(39.002181, -94.551203)"
1159552,10/28/2015,Closed (City Demolition),345 N White Ave,KANSAS CITY,MO,64123,North Indian Mound,39.11558,-94.511221,251296,Private,,,House,,"345 N White Ave
KANSAS CITY 64123
(39.11558, -94.511221)"
1047627,02/12/2007,Closed (Owner Repair),1480 E 77TH ST,KANSAS CITY,MO,64131,East Meyer 6,38.987362,-94.567314,116274,Private,,,House,High Priority,"1480 E 77TH ST
KANSAS CITY 64131
(38.987362, -94.567314)"
1106214,02/07/2014,Monitoring Owner Compliance,2912 PASEO,KANSAS CITY,MO,64109,Beacon Hills,39.073375,-94.56731,27331,Private,,Accelerated Priority,House,Repair/Receivership,"2912 PASEO
KANSAS CITY 64109
(39.073375, -94.56731)"
1047530,10/22/2007,Closed (Owner Demolition),5734 PROSPECT AVE,KANSAS CITY,MO,64130,Blue Hills,39.021464,-94.555891,148403,Private,,Dollar House (sold),,,"5734 PROSPECT AVE
KANSAS CITY 64130
(39.021464, -94.555891)"
1148212,10/29/2015,Closed (City Demolition),4442 Scarritt Ave,KANSAS CITY,MO,64123,North Indian Mound,39.115049,-94.528286,43651,Land Bank,,LB 2018,House,Regular Demolition,"4442 Scarritt Ave
KANSAS CITY 64123
(39.115049, -94.528286)"
1140747,07/20/2015,Closed (upgraded to Emergency),4409 Flora Ave,KANSAS CITY,MO,64110,Ivanhoe Southwest,39.046385,-94.566522,137534,Private,,,,,"4409 Flora Ave
KANSAS CITY 64110
(39.046385, -94.566522)"
1169321,11/07/2016,Closed (City Demolition),3209 E 37th St,KANSAS CITY,MO,64128,Oak Park Northwest,39.058563,-94.545844,29106,Private,,Advertised - Demo After 8/17/2018,House,Regular Demolition,"3209 E 37th St
KANSAS CITY 64128
(39.058563, -94.545844)"
1053398,11/18/2011,Downgraded/No Longer a DB,908 Fuller Ave,KANSAS CITY,MO,64126,Sheffield,39.100651,-94.50676,5990,Private,,,House,More Information Needed,"908 Fuller Ave
KANSAS CITY 64126
(39.100651, -94.50676)"
1096997,07/26/2013,Closed (Owner Demolition),4645 Montgall Ave (garage only),KANSAS CITY,MO,64130,Oak Park Southwest,39.041056,-94.552851,34963,Private,,,Unattached Garage,Regular Demolition,"4645 Montgall Ave
garage only) KANSAS CITY 64130
(39.041056, -94.552851)"
1148089,10/30/2015,Closed (City Demolition),6820 Cleveland Ave,KANSAS CITY,MO,64132,Self Help Neighborhood Council,39.001891,-94.543072,2215,Land Bank,,Land Bank Round 3,House,,"6820 Cleveland Ave
KANSAS CITY 64132
(39.001891, -94.543072)"
1170236,12/05/2016,Closed (City Demolition),4502 Michigan Ave,KANSAS CITY,MO,64130,Ivanhoe Southwest,39.044745,-94.562611,137321,Private,,Accelerated Priority,House,Regular Demolition,"4502 Michigan Ave
KANSAS CITY 64130
(39.044745, -94.562611)"
1152522,02/24/2016,Closed (Owner Demolition),6124 Harrison St,KANSAS CITY,MO,64110,Western 49-63,39.015579,-94.575935,106352,Private,,,Accessory Building,Regular Demolition,"6124 Harrison St
KANSAS CITY 64110
(39.015579, -94.575935)"
1196255,04/23/2018,Closed (City Demolition),4117 Flora Ave,KANSAS CITY,MO,64110,Ivanhoe Southwest,39.051629,-94.566229,136124,Private,,,,,"4117 Flora Ave
KANSAS CITY 64110
(39.051629, -94.566229)"
1178186,05/19/2017,Closed (City Demolition),4206 E 7th St,KANSAS CITY,MO,64124,Lykins,39.104119,-94.532345,8008,Private,,,Apartment Building,Emergency,"4206 E 7th St
KANSAS CITY 64124
(39.104119, -94.532345)"
1129242,02/11/2015,Downgraded/No Longer a DB,6134-36 Bellefontaine Ave,KANSAS CITY,MO,64130,South Town Fork Creek,39.014332,-94.550586,1374,Private,,47/63 Strategic Area,Apartment Building,Regular Demolition,"6134 36 Bellefontaine Ave
KANSAS CITY 64130
(39.014332, -94.550586)"
1154176,03/25/2016,Closed (City Demolition),3010 Mersington Ave,KANSAS CITY,MO,64128,Ingleside,39.070627,-94.538143,24137,Land Bank,,Kissick Donated Demolition,,,"3010 Mersington Ave
KANSAS CITY 64128
(39.070627, -94.538143)"
1102300,10/24/2013,Closed (City Demolition),5635 BONITA AVE,KANSAS CITY,MO,64128,South Blue Valley,39.073563,-94.516581,21625,Land Bank,,,,,"5635 BONITA AVE
KANSAS CITY 64128
(39.073563, -94.516581)"
1079228,02/03/2015,Closed (Owner Repair),7606 SNI-A-BAR TER,KANSAS CITY,MO,64129,Eastwood Hills East,39.035316,-94.49339,50449,Private,,47/63 Strategic Area,House,Regular Demolition,"7606 SNI-A-BAR TER
KANSAS CITY 64129
(39.035316, -94.49339)"
1148937,11/16/2015,Downgraded/No Longer a DB,2629 Kensington Ave,KANSAS CITY,MO,64127,East Community Team South,39.077162,-94.531655,19585,Private,,,House,Repair/Receivership,"2629 Kensington Ave
KANSAS CITY 64127
(39.077162, -94.531655)"
1130056,05/14/2014,Closed (Owner Repair),4243 Prospect Ave,KANSAS CITY,MO,64130,Oak Park Southwest,39.048468,-94.553585,30094,Private,,,House,Regular Demolition,"4243 Prospect Ave
KANSAS CITY 64130
(39.048468, -94.553585)"
1154383,03/30/2016,Closed (City Demolition),4215 E 41st St,KANSAS CITY,MO,64130,Vineyard Northwest,39.051067,-94.534641,31687,Land Bank,,Kissick Donated Demolition,,,"4215 E 41st St
KANSAS CITY 64130
(39.051067, -94.534641)"
1153663,03/16/2016,Closed (Owner Repair),3527 Indiana Ave,KANSAS CITY,MO,64128,Palestine West And Oak Park No,39.061266,-94.543701,27835,Private,,,House,High Priority,"3527 Indiana Ave
KANSAS CITY 64128
(39.061266, -94.543701)"
1154384,03/30/2016,Closed (City Demolition),4008 Topping Ave,KANSAS CITY,MO,64130,Vineyard Estates,39.050956,-94.517114,32035,Land Bank,,Kissick Donated Demolition,,,"4008 Topping Ave
KANSAS CITY 64130
(39.050956, -94.517114)"
