Service Order Number,Date Opened,Structure Status,Address,City,State,Zip Code,Neighborhood,Latitude,Longitude,KivaPIN,Property Owner,Order to Demolish Or Repair Sent,Project Phase,Structure Type,Structure Rating,Mapped Location
1126356,01/29/2013,Downgraded/No Longer a DB,618 NEWTON AVE,KANSAS CITY,MO,64125,Sheffield,39.103901,-94.504284,5069,Private,,,House,More Information Needed,"618 NEWTON AVE
KANSAS CITY 64125
(39.103901, -94.504284)"
1074306,08/30/2012,Closed (City Demolition),3815 FLORA AVE,KANSAS CITY,MO,64109,Linwood Homeowners-Ivanhoe,39.056467,-94.565902,135023,Private,,,House,Regular Demolition,"3815 FLORA AVE
KANSAS CITY 64109
(39.056467, -94.565902)"
1099599,06/01/2014,Closed (Owner Repair),2509 Brooklyn Ave,KANSAS CITY,MO,64127,Wendell Phillips,39.080495,-94.556606,14712,Private,,,House,Repair/Receivership,"2509 Brooklyn Ave
KANSAS CITY 64127
(39.080495, -94.556606)"
1085309,03/17/2013,Closed (Owner Repair),3722 PROSPECT AVE,KANSAS CITY,MO,64128,Ivanhoe Northeast,39.058412,-94.553776,134259,Private,,,House,Repair/Receivership,"3722 PROSPECT AVE
KANSAS CITY 64128
(39.058412, -94.553776)"
1077858,10/03/2012,Downgraded/No Longer a DB,4631 Chestnut Ave,KANSAS CITY,MO,64130,Oak Park Southwest,39.041507,-94.551754,34762,Land Bank,,,,,"4631 Chestnut Ave
KANSAS CITY 64130
(39.041507, -94.551754)"
1070173,08/10/2012,Closed (City Demolition),930 EWING AVE,KANSAS CITY,MO,64126,Sheffield,39.099886,-94.503312,5301,Land Bank,,,,,"930 EWING AVE
KANSAS CITY 64126
(39.099886, -94.503312)"
1152778,02/29/2016,Closed (City Demolition),4011 E 26th St,KANSAS CITY,MO,64127,East Community Team South,39.078243,-94.535649,17551,Land Bank,,Kissick Donated Demolition,,,"4011 E 26th St
KANSAS CITY 64127
(39.078243, -94.535649)"
1064067,05/24/2012,Downgraded/No Longer a DB,2614 E 26TH ST,KANSAS CITY,MO,64127,Washington Wheatley,39.07908,-94.551448,16409,Private,,,House,Repair/Receivership,"2614 E 26TH ST
KANSAS CITY 64127
(39.07908, -94.551448)"
1161896,07/14/2016,Demolition NTP Issued,2114 E 39th St,KANSAS CITY,MO,64109,Ivanhoe Northeast,39.055777,-94.559377,134152,Private,,,Commercial Building,High Priority,"2114 E 39th St
KANSAS CITY 64109
(39.055777, -94.559377)"
1154463,03/31/2016,Closed (City Demolition),2910 E 59th St,KANSAS CITY,MO,64130,North Town Fork Creek,39.019425,-94.551863,36722,Land Bank,,Kissick Donated Demolition,,,"2910 E 59th St
KANSAS CITY 64130
(39.019425, -94.551863)"
1149322,11/25/2015,Closed (Owner Repair),5120 Booth Ave,KANSAS CITY,MO,64129,Eastwood Hills East,39.029569,-94.48622,51193,Private,,47/63 Strategic Area,House,,"5120 Booth Ave
KANSAS CITY 64129
(39.029569, -94.48622)"
1169862,11/21/2016,Closed (City Demolition),5823 Chestnut Ave,KANSAS CITY,MO,64130,North Town Fork Creek,39.020165,-94.553215,36660,Private,,,House,,"5823 Chestnut Ave
KANSAS CITY 64130
(39.020165, -94.553215)"
1173987,03/09/2017,Closed (City Demolition),4418 E 10th St,KANSAS CITY,MO,64127,Lykins,39.101162,-94.529366,8313,Private,,KCPD Requested,House,Regular Demolition,"4418 E 10th St
KANSAS CITY 64127
(39.101162, -94.529366)"
1131201,03/16/2015,Closed (Owner Repair),2618 NE Vivion Rd,KANSAS CITY,MO,64119,Country Club Estates And Big Shoal,39.187644,-94.547281,80019,Private,,AHA Candidate,Commercial Building,Repair/Receivership,"2618 NE Vivion Rd
KANSAS CITY 64119
(39.187644, -94.547281)"
1047891,07/23/2014,Closed (City Demolition),3643 WAYNE AVE,KANSAS CITY,MO,64109,Linwood Homeowners-Ivanhoe,39.059704,-94.564601,134548,Land Bank,,,House,High Priority,"3643 WAYNE AVE
KANSAS CITY 64109
(39.059704, -94.564601)"
1189531,11/22/2017,Closed (City Demolition),4039 Euclid Ave,KANSAS CITY,MO,64130,Ivanhoe Southeast,39.052486,-94.56037,136685,Private,,Accelerated Priority,House,,"4039 Euclid Ave
KANSAS CITY 64130
(39.052486, -94.56037)"
1048437,09/15/2009,Closed (City Demolition),3008 MONROE AVE,KANSAS CITY,MO,64128,Ingleside,39.070926,-94.540483,24080,Land Bank,,Dollar House List,,,"3008 MONROE AVE
KANSAS CITY 64128
(39.070926, -94.540483)"
1047158,04/03/2008,Closed (City Demolition),4505 AGNES AVE,KANSAS CITY,MO,64130,Oak Park Southwest,39.044128,-94.549757,34770,Land Bank,,Dollar House List,,,"4505 AGNES AVE
KANSAS CITY 64130
(39.044128, -94.549757)"
1047938,04/15/2003,Monitoring Owner Compliance,4000 Troost Ave,KANSAS CITY,MO,64110,South Hyde Park,39.054216,-94.572553,133055,Private,,,Commercial Building,Repair/Receivership,"4000 Troost Ave
KANSAS CITY 64110
(39.054216, -94.572553)"
1144025,08/26/2015,Downgraded/No Longer a DB,3618 Roberts St,KANSAS CITY,MO,64124,Scarritt Point,39.107029,-94.538042,42107,Private,,,House,Regular Demolition,"3618 Roberts St
KANSAS CITY 64124
(39.107029, -94.538042)"
1130157,03/04/2015,Closed (City Demolition),3604 Smart Ave,KANSAS CITY,MO,64124,Scarritt Point,39.109768,-94.538422,41866,Land Bank,,,House,High Priority,"3604 Smart Ave
KANSAS CITY 64124
(39.109768, -94.538422)"
1132013,04/02/2015,Closed (City Demolition),5422 E 29th St,KANSAS CITY,MO,64128,South Blue Valley,39.072598,-94.518995,21685,Land Bank,,Kissick Donated Demolition,,,"5422 E 29th St
KANSAS CITY 64128
(39.072598, -94.518995)"
1095673,07/05/2013,Closed (City Demolition),817 NEWTON AVE,KANSAS CITY,MO,64125,Sheffield,39.101561,-94.50374,5189,Land Bank,,,House,High Priority,"817 NEWTON AVE
KANSAS CITY 64125
(39.101561, -94.50374)"
1150327,12/29/2015,Closed (Owner Repair),5512 Thompson Ave,KANSAS CITY,MO,64123,South Indian Mound,39.10711,-94.517174,45277,Private,,,House,Regular Demolition,"5512 Thompson Ave
KANSAS CITY 64123
(39.10711, -94.517174)"
1154456,03/31/2016,Closed (City Demolition),4320 Montgall Ave,KANSAS CITY,MO,64130,Oak Park Southwest,39.047486,-94.553175,34561,Land Bank,,Land Bank Unclaimed,,,"4320 Montgall Ave
KANSAS CITY 64130
(39.047486, -94.553175)"
1047795,11/01/2010,Closed (Owner Demolition),5204 E 51ST ST,KANSAS CITY,MO,64130,Brown Estates,39.033187,-94.524095,33576,Private,,47/63 Strategic Area,House,Regular Demolition,"5204 E 51ST ST
KANSAS CITY 64130
(39.033187, -94.524095)"
1064488,05/15/2012,Closed (Owner Demolition),3023 E 20TH ST,KANSAS CITY,MO,64127,Washington Wheatley,39.087836,-94.546087,15293,Private,,,Unattached Garage,High Priority,"3023 E 20TH ST
KANSAS CITY 64127
(39.087836, -94.546087)"
1109385,04/10/2014,Closed (upgraded to Emergency),1108 Tracy Ave,KANSAS CITY,MO,64106,Paseo West,39.100222,-94.56754,12116,Land Bank,,,,,"1108 Tracy Ave
KANSAS CITY 64106
(39.100222, -94.56754)"
1148785,11/12/2015,Demolition NTP Issued,5851 E 11th St,KANSAS CITY,MO,64126,Sheffield,39.099136,-94.512026,5669,Private,,,House,Regular Demolition,"5851 E 11th St
KANSAS CITY 64126
(39.099136, -94.512026)"
1096444,07/20/2013,Downgraded/No Longer a DB,4641 SOUTH BENTON AVE,KANSAS CITY,MO,64130,Oak Park Southwest,39.041186,-94.550827,34732,Land Bank,,,House,High Priority,"4641 SOUTH BENTON AVE
KANSAS CITY 64130
(39.041186, -94.550827)"
1169439,11/08/2016,Closed (City Demolition),2010 Spruce Ave,KANSAS CITY,MO,64127,East Community Team North,39.086822,-94.532831,18652,Land Bank,,LB Demo Hold (List 4),,,"2010 Spruce Ave
KANSAS CITY 64127
(39.086822, -94.532831)"
1126918,05/19/2014,Closed (City Demolition),1215 Fremont Ave,KANSAS CITY,MO,64126,East Blue Valley,39.096921,-94.507453,6060,Land Bank,,,House,High Priority,"1215 Fremont Ave
KANSAS CITY 64126
(39.096921, -94.507453)"
1170455,12/12/2016,Closed (Owner Repair),6907 E 114TH ST,KANSAS CITY,MO,64134,Ruskin Heights,38.916721,-94.510616,60450,Private,,Owner Rehab,House,,"6907 E 114TH ST
KANSAS CITY 64134
(38.916721, -94.510616)"
1168882,10/27/2016,Closed (City Demolition),2701 E 35th St,KANSAS CITY,MO,64128,Oak Park Northwest,39.062335,-94.551891,28611,Land Bank,,KCPD Requested,,,"2701 E 35th St
KANSAS CITY 64128
(39.062335, -94.551891)"
1082219,01/14/2013,Closed (City Demolition),2457 MONTGALL AVE,KANSAS CITY,MO,64127,Washington Wheatley,39.080906,-94.550827,16261,Private,,,House,High Priority,"2457 MONTGALL AVE
KANSAS CITY 64127
(39.080906, -94.550827)"
1179782,06/13/2017,Closed (City Demolition),8600 Thompson Ave,KANSAS CITY,MO,64125,North Blue Ridge,39.10583,-94.481985,46998,Private,,,,,"8600 Thompson Ave
KANSAS CITY 64125
(39.10583, -94.481985)"
1062388,08/24/2011,Closed (City Demolition),3718 Agnes Ave,KANSAS CITY,MO,64128,Oak Park Northwest,39.058131,-94.549168,28826,Land Bank,,,,,"3718 Agnes Ave
KANSAS CITY 64128
(39.058131, -94.549168)"
1148792,11/12/2015,Closed (Owner Repair),5126 Norton Ave,KANSAS CITY,MO,64130,Mount Cleveland,39.032154,-94.537855,35557,Private,,AHA Candidate,House,Repair/Receivership,"5126 Norton Ave
KANSAS CITY 64130
(39.032154, -94.537855)"
1108112,03/19/2014,Closed (Owner Repair),3927 Flora Ave,KANSAS CITY,MO,64110,Ivanhoe Southwest,39.054826,-94.566076,135350,Private,,,House,Repair/Receivership,"3927 Flora Ave
KANSAS CITY 64110
(39.054826, -94.566076)"
1095289,07/03/2013,Closed (City Demolition),5734 Wabash Ave,KANSAS CITY,MO,64130,Blue Hills,39.021693,-94.556988,148375,Private,,47/63 Strategic Area,House,Regular Demolition,"5734 Wabash Ave
KANSAS CITY 64130
(39.021693, -94.556988)"
1167776,10/10/2016,Closed (City Demolition),8205 PASEO,KANSAS CITY,MO,64132,Marlborough Heights/Marlborough Pride,38.978229,-94.566835,225767,Private,,Accelerated Priority,House,High Priority,"8205 PASEO
KANSAS CITY 64132
(38.978229, -94.566835)"
1128890,02/02/2015,Downgraded/No Longer a DB,2604 Cleveland Ave,KANSAS CITY,MO,64127,Washington Wheatley,39.07817,-94.538922,17524,Private,,,House,Repair/Receivership,"2604 Cleveland Ave
KANSAS CITY 64127
(39.07817, -94.538922)"
1078397,10/15/2012,Downgraded/No Longer a DB,3612 E GREGORY BLVD,KANSAS CITY,MO,64132,Self Help Neighborhood Council,38.998125,-94.544398,2431,Private,,,House,Regular Demolition,"3612 E GREGORY BLVD
KANSAS CITY 64132
(38.998125, -94.544398)"
1145320,12/16/2013,Closed (City Demolition),2822 Cypress Ave,KANSAS CITY,MO,64128,East Community Team South,39.073679,-94.530919,22291,Land Bank,,Dollar House List,,,"2822 Cypress Ave
KANSAS CITY 64128
(39.073679, -94.530919)"
1131464,05/24/2011,Closed (City Demolition),7210 E 87TH TER,KANSAS CITY,MO,64138,Loma Vista,38.965797,-94.505058,55351,Private,,,Commercial Building,High Priority,"7210 E 87TH TER
KANSAS CITY 64138
(38.965797, -94.505058)"
1037225,04/29/2014,Closed (Owner Repair),1702 Kensington Ave,KANSAS CITY,MO,64127,East Community Team North,39.090709,-94.531526,18402,Private,,,House,Regular Demolition,"1702 Kensington Ave
KANSAS CITY 64127
(39.090709, -94.531526)"
1069951,07/30/2012,Closed (City Deconstruction),3526 Cleveland Ave,KANSAS CITY,MO,64128,Palestine West And Oak Park No,39.061166,-94.539779,27764,Land Bank,,Candidate for Deconstruction (was Dollar House List),House,,"3526 Cleveland Ave
KANSAS CITY 64128
(39.061166, -94.539779)"
1130927,03/16/2015,Closed (Owner Repair),2444 Kensington Ave,KANSAS CITY,MO,64127,East Community Team South,39.080636,-94.5321,19431,Private,,,House,Repair/Receivership,"2444 Kensington Ave
KANSAS CITY 64127
(39.080636, -94.5321)"
1064046,05/10/2012,Closed (Sent to Receivership),2735 Brooklyn Ave,KANSAS CITY,MO,64109,Key Coalition,39.075948,-94.556812,26563,Private,,,House,Repair/Receivership,"2735 Brooklyn Ave
KANSAS CITY 64109
(39.075948, -94.556812)"
1153377,03/10/2016,Closed (City Demolition),2433 Cypress Ave,KANSAS CITY,MO,64127,East Community Team South,39.080988,-94.530455,19377,Land Bank,,Kissick Donated Demolition,,,"2433 Cypress Ave
KANSAS CITY 64127
(39.080988, -94.530455)"
1153941,02/29/2016,Closed (City Demolition),2921 Kensington Ave,KANSAS CITY,MO,64128,Knoches Park,39.071974,-94.53154,22576,Land Bank,,Kissick Donated Demolition,,,"2921 Kensington Ave
KANSAS CITY 64128
(39.071974, -94.53154)"
1152736,02/29/2016,Closed (City Demolition),8621 Smart Ave,KANSAS CITY,MO,64125,North Blue Ridge,39.106198,-94.4807,46982,Land Bank,,Kissick Donated Demolition,,,"8621 Smart Ave
KANSAS CITY 64125
(39.106198, -94.4807)"
1153820,03/21/2016,Closed (Owner Repair),4905 NE Park Ln,KANSAS CITY,MO,64118,Davidson,39.183451,-94.564093,87472,Private,,,House,Regular Demolition,"4905 NE Park Ln
KANSAS CITY 64118
(39.183451, -94.564093)"
1152705,02/29/2016,Closed (Owner Demolition),5415 Jackson Ave,KANSAS CITY,MO,64130,Swope Parkway-Elmwood,39.02691,-94.536337,37861,Private,,47/63 Strategic Area,House,Regular Demolition,"5415 Jackson Ave
KANSAS CITY 64130
(39.02691, -94.536337)"
1104819,01/06/2014,Closed (City Demolition),3858 E 61ST ST,KANSAS CITY,MO,64130,Swope Parkway-Elmwood,39.015161,-94.53886,785,Private,,47/63 Strategic Area,House,Regular Demolition,"3858 E 61ST ST
KANSAS CITY 64130
(39.015161, -94.53886)"
1149928,12/14/2015,On Hold - LB Sold,4501 Cypress Ave,KANSAS CITY,MO,64130,Vineyard,39.043713,-94.531939,33093,Private,,Dollar House (sold),House,Repair/Receivership,"4501 Cypress Ave
KANSAS CITY 64130
(39.043713, -94.531939)"
1153844,02/29/2016,Closed (City Demolition),2740 Lister Ave,KANSAS CITY,MO,64128,East Community Team South,39.074811,-94.528671,22217,Land Bank,,Kissick Donated Demolition,,,"2740 Lister Ave
KANSAS CITY 64128
(39.074811, -94.528671)"
1148655,11/06/2015,Closed (Owner Demolition),4025 E 67th Ter,KANSAS CITY,MO,64132,Foxtown East,39.003319,-94.538964,2026,Private,,,Accessory Building,Regular Demolition,"4025 E 67th Ter
KANSAS CITY 64132
(39.003319, -94.538964)"
1148464,11/04/2015,Closed (Owner Demolition),6135 Chestnut Ave,KANSAS CITY,MO,64130,South Town Fork Creek,39.014575,-94.553396,1211,Private,,,House,,"6135 Chestnut Ave
KANSAS CITY 64130
(39.014575, -94.553396)"
1128078,01/14/2015,On Hold - LB Sold,4146 South Benton Ave,KANSAS CITY,MO,64130,Oak Park Southwest,39.050048,-94.550751,29960,Private,,Dollar House (sold),House,High Priority,"4146 South Benton Ave
KANSAS CITY 64130
(39.050048, -94.550751)"
1048452,07/19/2010,Closed (Sent to Receivership),2841 BROOKLYN AVE,KANSAS CITY,MO,64109,Key Coalition,39.073996,-94.556927,26593,Private,,,House,Repair/Receivership,"2841 BROOKLYN AVE
KANSAS CITY 64109
(39.073996, -94.556927)"
1065790,05/30/2012,Closed (City Demolition),1821 ASKEW AVE,KANSAS CITY,MO,64127,East Community Team North,39.089621,-94.539971,14961,Land Bank,,Land Bank Round 3,,,"1821 ASKEW AVE
KANSAS CITY 64127
(39.089621, -94.539971)"
1109655,04/15/2014,Downgraded/No Longer a DB,2613 Askew Ave,KANSAS CITY,MO,64127,Washington Wheatley,39.078004,-94.540625,17360,Private,,,House,Repair/Receivership,"2613 Askew Ave
KANSAS CITY 64127
(39.078004, -94.540625)"
1123256,09/23/2014,Closed (City Demolition),2536 Monroe Ave,KANSAS CITY,MO,64127,Washington Wheatley,39.078947,-94.540078,17335,Land Bank,,,,,"2536 Monroe Ave
KANSAS CITY 64127
(39.078947, -94.540078)"
1047317,01/10/2008,Downgraded/No Longer a DB,4517 MONTGALL AVE,KANSAS CITY,MO,64130,Oak Park Southwest,39.043927,-94.5527,34890,Land Bank,,,,,"4517 MONTGALL AVE
KANSAS CITY 64130
(39.043927, -94.5527)"
1047572,11/25/2008,Closed (City Demolition),3523 E 58TH TER,KANSAS CITY,MO,64130,North Town Fork Creek,39.019653,-94.544341,37136,Land Bank,,47/63 Strategic Area,House,High Priority,"3523 E 58TH TER
KANSAS CITY 64130
(39.019653, -94.544341)"
1096440,07/20/2013,Closed (City Demolition),4643 SOUTH BENTON AVE,KANSAS CITY,MO,64130,Oak Park Southwest,39.04109,-94.550832,34733,Land Bank,,Land Bank Round 3,House,,"4643 SOUTH BENTON AVE
KANSAS CITY 64130
(39.04109, -94.550832)"
1108412,03/25/2014,Downgraded/No Longer a DB,6938 Askew Ave,KANSAS CITY,MO,64132,Self Help Neighborhood Council,39.000372,-94.545464,2492,Private,,,House,Repair/Receivership,"6938 Askew Ave
KANSAS CITY 64132
(39.000372, -94.545464)"
1126626,01/25/2013,Downgraded/No Longer a DB,3307 BALES AVE,KANSAS CITY,MO,64128,Palestine West And Oak Park No,39.065639,-94.542508,26133,Land Bank,,,,,"3307 BALES AVE
KANSAS CITY 64128
(39.065639, -94.542508)"
1148153,10/28/2015,Closed (upgraded to Emergency),345 N White Ave,KANSAS CITY,MO,64123,North Indian Mound,39.11558,-94.511221,251296,Private,,,,,"345 N White Ave
KANSAS CITY 64123
(39.11558, -94.511221)"
1075184,09/13/2012,Closed (Owner Repair),2941 INDIANA AVE,KANSAS CITY,MO,64128,Ingleside,39.071679,-94.543195,23993,Private,,Dollar House (sold),,,"2941 INDIANA AVE
KANSAS CITY 64128
(39.071679, -94.543195)"
1154457,03/31/2016,Closed (City Demolition),4909 Montgall Ave,KANSAS CITY,MO,64130,North Town Fork Creek,39.036883,-94.55308,35147,Land Bank,,Land Bank Unclaimed,,,"4909 Montgall Ave
KANSAS CITY 64130
(39.036883, -94.55308)"
1151059,01/21/2016,Closed (Owner Demolition),5609 E 23rd St,KANSAS CITY,MO,64127,South Blue Valley,39.082896,-94.516905,20100,Private,,,House,Repair/Receivership,"5609 E 23rd St
KANSAS CITY 64127
(39.082896, -94.516905)"
1047312,09/21/2007,Closed (City Demolition),4148 E 6TH ST,KANSAS CITY,MO,64124,Lykins,39.105003,-94.531901,7998,Land Bank,,formerly Adam Jones List,House,High Priority,"4148 E 6TH ST
KANSAS CITY 64124
(39.105003, -94.531901)"
1152743,02/29/2016,Closed (City Demolition),8635 E 25th St,KANSAS CITY,MO,64129,Western Blue Township,39.077609,-94.482013,47312,Land Bank,,Kissick Donated Demolition,,,"8635 E 25th St
KANSAS CITY 64129
(39.077609, -94.482013)"
1178065,05/17/2017,Closed (Owner Demolition),10605 Hillcrest Ave,KANSAS CITY,MO,64134,Stratford Estates,38.932475,-94.521523,256167,Private,,Accelerated Priority,House,,"10605 Hillcrest Ave
KANSAS CITY 64134
(38.932475, -94.521523)"
1062203,04/19/2012,Downgraded/No Longer a DB,4904 AGNES AVE,KANSAS CITY,MO,64130,North Town Fork Creek,39.036979,-94.550273,35062,Private,,47/63 Strategic Area,House,Regular Demolition,"4904 AGNES AVE
KANSAS CITY 64130
(39.036979, -94.550273)"
1133425,04/27/2015,Closed (City Demolition),715 Wheeling Ave,KANSAS CITY,MO,64125,Sheffield,39.103047,-94.510118,5515,Private,,,House,High Priority,"715 Wheeling Ave
KANSAS CITY 64125
(39.103047, -94.510118)"
1080693,12/03/2012,Closed (City Demolition),2322 DENVER AVE,KANSAS CITY,MO,64127,East Community Team South,39.082568,-94.52258,20327,Land Bank,,Dollar House List,,,"2322 DENVER AVE
KANSAS CITY 64127
(39.082568, -94.52258)"
1049004,05/19/2010,Closed (City Demolition),2231 QUINCY AVE,KANSAS CITY,MO,64127,East Community Team North,39.084074,-94.523014,17796,Land Bank,,Dollar House List,,,"2231 QUINCY AVE
KANSAS CITY 64127
(39.084074, -94.523014)"
1166868,09/23/2016,Closed (City Demolition),1321 Monroe Ave,KANSAS CITY,MO,64127,Lykins,39.096264,-94.538531,11418,Land Bank,,,,,"1321 Monroe Ave
KANSAS CITY 64127
(39.096264, -94.538531)"
1130137,03/04/2015,Downgraded/No Longer a DB,6213 E 12th Ter,KANSAS CITY,MO,64126,East Blue Valley,39.096312,-94.509384,6108,Private,,,House,Repair/Receivership,"6213 E 12th Ter
KANSAS CITY 64126
(39.096312, -94.509384)"
1150877,01/14/2016,Closed (Owner Repair),103 E Meyer Blvd,KANSAS CITY,MO,64113,Morningside,39.011745,-94.587,107067,Private,,,House,Repair/Receivership,"103 E Meyer Blvd
KANSAS CITY 64113
(39.011745, -94.587)"
1056143,01/17/2012,Closed (Owner Repair),7608 E 47TH TER,KANSAS CITY,MO,64129,Eastwood Hills East,39.038403,-94.496295,50509,Private,,Dollar House (sold),,,"7608 E 47TH TER
KANSAS CITY 64129
(39.038403, -94.496295)"
1057208,02/08/2012,Closed (City Demolition),3221 ROBERTS ST,KANSAS CITY,MO,64124,Scarritt Point,39.106754,-94.543768,41324,Land Bank,,Accelerated Priority,House,,"3221 ROBERTS ST
KANSAS CITY 64124
(39.106754, -94.543768)"
1047622,06/28/2008,Closed (City Demolition),2632 Brighton Ave,KANSAS CITY,MO,64127,East Community Team South,39.076881,-94.525338,19946,Land Bank,,,House,High Priority,"2632 Brighton Ave
KANSAS CITY 64127
(39.076881, -94.525338)"
1070106,07/31/2012,Closed (City Demolition),3317 Moulton Ave,KANSAS CITY,MO,64127,Washington Wheatley,39.080904,-94.543723,16100,Land Bank,,Dollar House List,,,"3317 Moulton Ave
KANSAS CITY 64127
(39.080904, -94.543723)"
1061673,04/13/2012,Downgraded/No Longer a DB,3346 BELLEFONTAINE AVE,KANSAS CITY,MO,64128,Oak Park Northwest,39.064412,-94.547742,25633,Private,,,House,Repair/Receivership,"3346 BELLEFONTAINE AVE
KANSAS CITY 64128
(39.064412, -94.547742)"
1050149,04/23/2007,Closed (City Demolition),8620 SMART AVE,KANSAS CITY,MO,64125,North Blue Ridge,39.106667,-94.480757,46965,Land Bank,,,,,"8620 SMART AVE
KANSAS CITY 64125
(39.106667, -94.480757)"
1047725,11/01/2010,Closed (City Demolition),3119 POPLAR AVE,KANSAS CITY,MO,64128,Knoches Park,39.068331,-94.526491,22817,Land Bank,,Dollar House List,,,"3119 POPLAR AVE
KANSAS CITY 64128
(39.068331, -94.526491)"
1131632,03/26/2015,Closed (City Demolition),3240 Agnes Ave,KANSAS CITY,MO,64128,Oak Park Northwest,39.066513,-94.548732,25271,Land Bank,,,,,"3240 Agnes Ave
KANSAS CITY 64128
(39.066513, -94.548732)"
1154396,03/30/2016,Closed (City Demolition),4004 Jackson Ave,KANSAS CITY,MO,64130,Vineyard Northwest,39.052697,-94.535626,30463,Land Bank,,Land Bank Unclaimed,,,"4004 Jackson Ave
KANSAS CITY 64130
(39.052697, -94.535626)"
1132921,11/20/2014,Closed (City Demolition),2803 Highland Ave,KANSAS CITY,MO,64109,Mount Hope,39.075451,-94.562709,27074,Private,,Accelerated Priority,House,High Priority,"2803 Highland Ave
KANSAS CITY 64109
(39.075451, -94.562709)"
1047841,05/27/2010,Closed (City Demolition),3426 COLLEGE AVE,KANSAS CITY,MO,64128,Oak Park Northwest,39.063213,-94.545418,25730,Land Bank,,,,,"3426 COLLEGE AVE
KANSAS CITY 64128
(39.063213, -94.545418)"
1126406,11/14/2012,Closed (City Demolition),2327 LAWN AVE,KANSAS CITY,MO,64127,East Community Team South,39.082766,-94.528329,19067,Land Bank,,Dollar House List,,,"2327 LAWN AVE
KANSAS CITY 64127
(39.082766, -94.528329)"
1122413,09/09/2014,Closed (City Demolition),8305 WABASH AVE,KANSAS CITY,MO,64132,Marlborough Heights/Marlborough Pride,38.975908,-94.558854,121905,Land Bank,,Dollar House List,,,"8305 WABASH AVE
KANSAS CITY 64132
(38.975908, -94.558854)"
1154224,03/28/2016,Closed (City Demolition),3620 Bellaire Ave,KANSAS CITY,MO,64129,Dunbar,39.058405,-94.515651,32480,Land Bank,,Land Bank Unclaimed,,,"3620 Bellaire Ave
KANSAS CITY 64129
(39.058405, -94.515651)"
1127399,12/23/2014,Closed (Owner Repair),7444 Tracy Ave,KANSAS CITY,MO,64131,East Meyer 6,38.991637,-94.573703,114753,Private,,,House,High Priority,"7444 Tracy Ave
KANSAS CITY 64131
(38.991637, -94.573703)"
1166886,09/23/2016,Closed (City Demolition),2917 Poplar Ave,KANSAS CITY,MO,64128,Knoches Park,39.07161,-94.526432,22750,Land Bank,,,,,"2917 Poplar Ave
KANSAS CITY 64128
(39.07161, -94.526432)"
1193499,03/05/2018,Closed (City Demolition),2635 E 7th St,KANSAS CITY,MO,64124,Independence Plaza,39.10416,-94.549411,10587,Private,,,,,"2635 E 7th St
KANSAS CITY 64124
(39.10416, -94.549411)"
1152392,02/22/2016,Closed (Owner Repair),6120 E 64th St,KANSAS CITY,MO,64133,Swope Park Ridge-Winchester,39.01025,-94.514814,240102,Private,,,House,High Priority,"6120 E 64th St
KANSAS CITY 64133
(39.01025, -94.514814)"
1057280,05/23/2005,Downgraded/No Longer a DB,5100 E 27th St,KANSAS CITY,MO,64127,East Community Team South,39.076359,-94.523361,20604,Private,,,Commercial Building,Repair/Receivership,"5100 E 27th St
KANSAS CITY 64127
(39.076359, -94.523361)"
1107938,03/14/2014,Downgraded/No Longer a DB,6224 PASEO,KANSAS CITY,MO,64110,Eastern 49-63,39.013861,-94.570773,105201,Private,,47/63 Strategic Area,House,Regular Demolition,"6224 PASEO
KANSAS CITY 64110
(39.013861, -94.570773)"
1152701,02/29/2016,Monitoring Owner Compliance,8404 E 114th Ter,KANSAS CITY,MO,64134,Ruskin Hills,38.91563,-94.493972,72980,Private,,,House,Regular Demolition,"8404 E 114th Ter
KANSAS CITY 64134
(38.91563, -94.493972)"
1048510,02/13/2009,Closed (City Demolition),3514 E 27th St (aka 2642 Askew Ave),KANSAS CITY,MO,64127,Washington Wheatley,39.07689,-94.541284,17399,Land Bank,,Dollar House List,House,,"3514 E 27th St (aka 2642 Askew Ave
KANSAS CITY 64127
(39.07689, -94.541284)"
1154192,03/25/2016,Closed (City Demolition),1810 E 41st St,KANSAS CITY,MO,64130,Ivanhoe Southwest,39.052394,-94.562504,136536,Land Bank,,Land Bank Unclaimed,,,"1810 E 41st St
KANSAS CITY 64130
(39.052394, -94.562504)"
1148021,10/26/2015,Monitoring Owner Compliance,5125 N Brighton Pl,KANSAS CITY,MO,64119,Glenhaven,39.186231,-94.51915,81379,Private,,,House,Regular Demolition,"5125 N Brighton Pl
KANSAS CITY 64119
(39.186231, -94.51915)"
1096287,07/18/2013,Closed (Owner Repair),3200 E 28th St,KANSAS CITY,MO,64128,Santa Fe,39.074946,-94.545855,24428,Private,,,House,More Information Needed,"3200 E 28th St
KANSAS CITY 64128
(39.074946, -94.545855)"
1052604,10/25/2011,Downgraded/No Longer a DB,3330-32 Monroe Ave,KANSAS CITY,MO,64128,Palestine West And Oak Park Northeast,39.064702,-94.540776,26072,Land Bank,,,,,"3330 32 Monroe Ave
KANSAS CITY 64128
(39.064702, -94.540776)"
1047130,11/03/2010,Closed (Owner Repair),6700 Paseo,KANSAS CITY,MO,64132,Neighbors United For Action,39.005388,-94.564101,113886,Private,,,House,Regular Demolition,"6700 Paseo
KANSAS CITY 64132
(39.005388, -94.564101)"
